case_id,segment,variant,n_users,revenue,cpm,fillrate,ctr,shows,revenue_effect_relative,revenue_p_value,ctr_effect_relative,ctr_p_value
case_001,all,control,346413,2034430,236.25,0.789,0.0674,22375853,,,,
case_001,all,test,348090,2060267.261,239.25,0.79,0.063,22373300,0.0127,0.0205,-0.066,0.0261
case_002,all,control,642666,3501520,65.88,0.734,0.0798,25754131,,,,
case_002,all,test,641695,3536535.2,66.54,0.737,0.0767,25705635,0.01,0.0028,-0.0388,0.0255
case_003,all,control,365840,2903055,50.81,0.853,0.066,24796882,,,,
case_003,all,test,366960,2916989.664,51.05,0.85,0.0652,24760829,0.0048,0.484,-0.0115,0.305
case_004,all,control,712340,1081691,77.97,0.727,0.0793,18318461,,,,
case_004,all,test,711320,1133720.3371,81.72,0.724,0.0806,18342825,0.0481,0.037,0.0167,0.579
case_005,all,control,2948072,1692592,116.26,0.905,0.0512,15106768,,,,
case_005,all,test,2948280,1705794.2176,117.17,0.907,0.0508,15147190,0.0078,0.00537,-0.0075,0.628
case_006,all,control,2484450,1088224,197.08,0.681,0.041,10382132,,,,
case_006,all,test,2485034,1092141.6064,197.79,0.678,0.0407,10340966,0.0036,0.00522,-0.0076,0.28
case_007,all,control,695948,4386887,151.76,0.633,0.0629,19888253,,,,
case_007,all,test,695682,4454006.3711,154.08,0.632,0.0631,19933814,0.0153,0.0375,0.0028,0.478
case_008,all,control,492075,2940402,112.45,0.923,0.0522,26465853,,,,
case_008,all,test,490476,2930110.593,112.06,0.919,0.0519,26486708,-0.0035,0.261,-0.006,0.395
case_008,mobile,control,305086,1823049.24,112.45,0.923,0.0522,16408828,,,,
case_008,mobile,test,307055,1872089.264556,115.47,0.919,0.0519,16457599,0.0269,0.0346,-0.006,0.395
case_008,desktop,control,186988,1117352.76,112.45,0.923,0.0522,10057024,,,,
case_008,desktop,test,188464,1072546.914324,107.94,0.921,0.0519,10060293,-0.0401,0.0084,-0.006,0.395
case_009,all,control,782765,3776089,229.6,0.654,0.0448,9962373,,,,
case_009,all,test,783137,3872756.8784,235.48,0.656,0.0453,9920362,0.0256,0.0371,0.0114,0.328
case_010,all,control,446629,2693557,79.97,0.912,0.0423,27948752,,,,
case_010,all,test,444791,2699482.8254,80.15,0.913,0.0417,27953700,0.0022,0.468,-0.0136,0.148
case_010,mobile,control,259044,1562263.06,79.97,0.912,0.0423,16210276,,,,
case_010,mobile,test,259359,1614755.098816,82.66,0.912,0.0417,16194455,0.0336,0.0032,-0.0136,0.148
case_010,desktop,control,187584,1131293.94,79.97,0.912,0.0423,11738475,,,,
case_010,desktop,test,186420,1097694.509982,77.59,0.914,0.0417,11729655,-0.0297,0.0342,-0.0136,0.148
case_011,all,control,276819,3255002,103.29,0.693,0.0767,10308253,,,,
