zone,bin,range,n,bin_conf,bin_acc,gap
obvious,1,"[0.0,0.2)",0,,,
obvious,2,"[0.2,0.4)",0,,,
obvious,3,"[0.4,0.6)",0,,,
obvious,4,"[0.6,0.8)",0,,,
obvious,5,"[0.8,1.0]",177,0.9991,0.3559,0.6431
grey,1,"[0.0,0.2)",0,,,
grey,2,"[0.2,0.4)",0,,,
grey,3,"[0.4,0.6)",0,,,
grey,4,"[0.6,0.8)",0,,,
grey,5,"[0.8,1.0]",63,0.9993,0.2857,0.7136
derive,1,"[0.0,0.2)",0,,,
derive,2,"[0.2,0.4)",0,,,
derive,3,"[0.4,0.6)",0,,,
derive,4,"[0.6,0.8)",0,,,
derive,5,"[0.8,1.0]",55,0.9999,0.1455,0.8544
blind,1,"[0.0,0.2)",0,,,
blind,2,"[0.2,0.4)",0,,,
blind,3,"[0.4,0.6)",0,,,
blind,4,"[0.6,0.8)",0,,,
blind,5,"[0.8,1.0]",34,0.9963,0.0,0.9963
