zone,bin,range,n,bin_conf,bin_acc,gap
obvious,1,"[0.0,0.2)",0,,,
obvious,2,"[0.2,0.4)",0,,,
obvious,3,"[0.4,0.6)",0,,,
obvious,4,"[0.6,0.8)",95,0.7095,0.5579,0.1516
obvious,5,"[0.8,1.0]",82,0.9402,0.122,0.8183
grey,1,"[0.0,0.2)",0,,,
grey,2,"[0.2,0.4)",0,,,
grey,3,"[0.4,0.6)",0,,,
grey,4,"[0.6,0.8)",38,0.7105,0.4737,0.2368
grey,5,"[0.8,1.0]",25,0.942,0.0,0.942
derive,1,"[0.0,0.2)",0,,,
derive,2,"[0.2,0.4)",0,,,
derive,3,"[0.4,0.6)",0,,,
derive,4,"[0.6,0.8)",8,0.7,1.0,0.3
derive,5,"[0.8,1.0]",47,0.95,0.0,0.95
blind,1,"[0.0,0.2)",0,,,
blind,2,"[0.2,0.4)",0,,,
blind,3,"[0.4,0.6)",0,,,
blind,4,"[0.6,0.8)",16,0.7031,0.0,0.7031
blind,5,"[0.8,1.0]",17,0.8912,0.0,0.8912
