zone,bin,range,n,bin_conf,bin_acc,gap
obvious,1,"[0.0,0.2)",0,,,
obvious,2,"[0.2,0.4)",0,,,
obvious,3,"[0.4,0.6)",7,0.5261,0.5714,0.0453
obvious,4,"[0.6,0.8)",23,0.731,0.6957,0.0353
obvious,5,"[0.8,1.0]",135,0.968,0.6519,0.3162
grey,1,"[0.0,0.2)",0,,,
grey,2,"[0.2,0.4)",0,,,
grey,3,"[0.4,0.6)",0,,,
grey,4,"[0.6,0.8)",5,0.7619,0.4,0.3619
grey,5,"[0.8,1.0]",55,0.9868,0.4,0.5868
derive,1,"[0.0,0.2)",0,,,
derive,2,"[0.2,0.4)",0,,,
derive,3,"[0.4,0.6)",5,0.5536,0.4,0.1536
derive,4,"[0.6,0.8)",9,0.6752,0.6667,0.0085
derive,5,"[0.8,1.0]",38,0.9467,0.3684,0.5783
blind,1,"[0.0,0.2)",0,,,
blind,2,"[0.2,0.4)",0,,,
blind,3,"[0.4,0.6)",1,0.5395,0.0,0.5395
blind,4,"[0.6,0.8)",2,0.7649,0.0,0.7649
blind,5,"[0.8,1.0]",31,0.9531,0.0,0.9531
