zone,bin,range,n,bin_conf,bin_acc,gap
obvious,1,"[0.0,0.2)",0,,,
obvious,2,"[0.2,0.4)",0,,,
obvious,3,"[0.4,0.6)",6,0.5542,0.5,0.0542
obvious,4,"[0.6,0.8)",9,0.7046,0.3333,0.3713
obvious,5,"[0.8,1.0]",162,0.989,0.4136,0.5754
grey,1,"[0.0,0.2)",0,,,
grey,2,"[0.2,0.4)",0,,,
grey,3,"[0.4,0.6)",0,,,
grey,4,"[0.6,0.8)",2,0.7084,1.0,0.2916
grey,5,"[0.8,1.0]",61,0.9849,0.1967,0.7881
derive,1,"[0.0,0.2)",0,,,
derive,2,"[0.2,0.4)",0,,,
derive,3,"[0.4,0.6)",0,,,
derive,4,"[0.6,0.8)",4,0.7296,0.0,0.7296
derive,5,"[0.8,1.0]",51,0.9886,0.098,0.8906
blind,1,"[0.0,0.2)",0,,,
blind,2,"[0.2,0.4)",0,,,
blind,3,"[0.4,0.6)",0,,,
blind,4,"[0.6,0.8)",2,0.7075,0.0,0.7075
blind,5,"[0.8,1.0]",33,0.9782,0.5455,0.4328
